,LLM,win_rate,sigma
0,chatglm-6b,0.192,0.017614539448989292
1,koala-13b,0.288,0.020251222185339826
2,vicuna-13b,0.196,0.01775297158224504
3,stablelm-tuned-alpha-7b,0.128,0.014940950438308804
4,oasst-pythia-12b,0.182,0.01725549187939886
5,alpaca-13b,0.21,0.01821537811850196
6,llama-13b,0.14,0.01551773179301666
7,dolly-v2-12b,0.132,0.01513776733867977
8,fastchat-t5-3b,0.15,0.015968719422671314
9,gpt-3.5-turbo-0314,0.552,0.02223942445298439
10,gpt-4-0314,0.392,0.021832819332372078
11,claude-1,0.298,0.020454632727086544
12,RWKV-4-Raven-14B,0.224,0.018645321128905237
13,mpt-7b-chat,0.22,0.018525657883055057
14,palm-2,0.294,0.02037469018169356
15,vicuna-7b,0.312,0.02071984555926998
16,claude-instant-1,0.36,0.02146625258399798
17,wizardlm-13b,0.35,0.02133072900770154
18,gpt4all-13b-snoozy,0.234,0.018933779337469845
19,guanaco-33b,0.362,0.021492138097453217
20,vicuna-33b,0.244,0.019207498535728174
21,mpt-30b-chat,0.37,0.021591665058535898
22,gpt-3.5-turbo-0613,0.294,0.02037469018169356
23,gpt-4-0613,0.306,0.020608930103234373
24,llama-2-7b-chat,0.19,0.017544229820656135
25,llama-2-13b-chat,0.3,0.020493901531919195
26,claude-2.0,0.36,0.02146625258399798
27,chatglm2-6b,0.174,0.016954291492126704
28,llama-2-70b-chat,0.406,0.021961967125009547
29,codellama-34b-instruct,0.278,0.020035768016225385
30,wizardlm-70b,0.386,0.0217717247823869
31,falcon-180b-chat,0.322,0.020895741192884256
32,mistral-7b-instruct,0.226,0.01870422412183943
33,qwen-14b-chat,0.278,0.020035768016225385
34,zephyr-7b-alpha,0.368,0.021567382780485908
35,zephyr-7b-beta,0.258,0.019567115270269147
36,openchat-3.5,0.334,0.02109236828807993
37,gpt-4-1106-preview,0.386,0.0217717247823869
38,gpt-3.5-turbo-1106,0.284,0.020166506886419373
39,chatglm3-6b,0.13,0.015039946808416579
40,claude-2.1,0.32,0.020861447696648473
41,tulu-2-dpo-70b,0.336,0.02112363605064242
42,yi-34b-chat,0.284,0.020166506886419373
43,starling-lm-7b-alpha,0.268,0.0198078772209442
44,openhermes-2.5-mistral-7b,0.286,0.020209106858047932
45,pplx-70b-online,0.294,0.02037469018169356
46,pplx-7b-online,0.306,0.020608930103234373
47,dolphin-2.2.1-mistral-7b,0.298,0.020454632727086544
48,mixtral-8x7b-instruct-v0.1,0.17,0.016798809481626965
49,gemini-pro,0.356,0.021413266915629666
50,solar-10.7b-instruct-v1.0,0.318,0.020826713614970557
51,mistral-medium,0.316,0.020791536739741004
52,gemini-pro-dev-api,0.376,0.021662132858977667
53,llama2-70b-steerlm-chat,0.332,0.02106067425321421
54,stripedhyena-nous-7b,0.25,0.019364916731037084
55,bard-jan-24-gemini-pro,0.44,0.022199099080818574
56,deepseek-llm-67b-chat,0.296,0.02041489652190282
57,gpt-4-0125-preview,0.39,0.02181284025522582
58,gpt-3.5-turbo-0125,0.22,0.018525657883055057
59,nous-hermes-2-mixtral-8x7b-dpo,0.326,0.020963015050321363
60,mistral-7b-instruct-v0.2,0.176,0.01703079563614102
61,qwen1.5-72b-chat,0.278,0.020035768016225385
62,openchat-3.5-0106,0.278,0.020035768016225385
63,qwen1.5-4b-chat,0.162,0.016477621187537962
64,qwen1.5-7b-chat,0.264,0.019713142824014644
65,codellama-70b-instruct,0.168,0.016719808611344807
66,mistral-next,0.298,0.020454632727086544
67,mistral-large-2402,0.224,0.018645321128905237
68,gemma-7b-it,0.264,0.019713142824014644
69,gemma-2b-it,0.174,0.016954291492126704
70,olmo-7b-instruct,0.184,0.017328819925199752
71,claude-3-sonnet-20240229,0.328,0.02099599961897504
72,claude-3-opus-20240229,0.386,0.0217717247823869
73,claude-3-haiku-20240307,0.272,0.019900552756142227
74,starling-lm-7b-beta,0.282,0.020123419192572618
75,command-r,0.242,0.019153902996517445
76,dbrx-instruct-preview,0.196,0.01775297158224504
77,qwen1.5-14b-chat,0.266,0.019760769215797242
78,qwen1.5-32b-chat,0.244,0.019207498535728174
79,command-r-plus,0.332,0.02106067425321421
80,gemma-1.1-7b-it,0.188,0.01747317944737019
81,gpt-4-turbo-2024-04-09,0.434,0.02216501748251059
82,gemma-1.1-2b-it,0.12,0.014532721699667961
83,zephyr-orpo-141b-A35b-v0.1,0.374,0.021639038795658184
84,gemini-1.5-pro-api-0409-preview,0.538,0.022296008611408454
85,reka-flash-21b-20240226,0.258,0.019567115270269147
86,reka-flash-21b-20240226-online,0.292,0.0203340109176719
87,mixtral-8x22b-instruct-v0.1,0.22,0.018525657883055057
88,llama-3-8b-instruct,0.232,0.018877287940803362
89,llama-3-70b-instruct,0.344,0.02124448163641561
90,phi-3-mini-128k-instruct,0.166,0.016639951923007473
91,snowflake-arctic-instruct,0.19,0.017544229820656135
92,qwen1.5-110b-chat,0.274,0.01994612744369192
93,reka-core-20240501,0.31,0.02068332661831747
94,qwen-max-0428,0.368,0.021567382780485908
95,gpt-4o-2024-05-13,0.442,0.022209727598509622
96,yi-large-preview,0.398,0.02189045454073533
97,glm-4-0116,0.348,0.02130239423163509
98,phi-3-mini-4k-instruct,0.152,0.016055902341506688
99,gemini-advanced-0514,0.456,0.022273930950777416
100,gemini-1.5-pro-api-0514,0.404,0.021944657664224338
101,gemini-1.5-flash-api-0514,0.324,0.020929596269398033
102,yi-1.5-34b-chat,0.298,0.020454632727086544
103,phi-3-small-8k-instruct,0.16,0.016395121225535356
104,phi-3-medium-4k-instruct,0.176,0.01703079563614102
105,qwen2-72b-instruct,0.28,0.020079840636817812
106,yi-large,0.366,0.021542701780417423
107,nemotron-4-340b-instruct,0.426,0.02211442967837968
108,reka-flash-preview-20240611,0.27,0.019854470529329156
109,glm-4-0520,0.404,0.021944657664224338
110,deepseek-coder-v2,0.306,0.020608930103234373
111,claude-3-5-sonnet-20240620,0.416,0.02204286732709699
112,gemma-2-27b-it,0.324,0.020929596269398033
113,gemma-2-9b-it,0.256,0.01951737687293044
114,phi-3-mini-4k-instruct-june-2024,0.118,0.014427473791346842
115,deepseek-v2-api-0628,0.342,0.021214900423994452
116,athene-70b-0725,0.434,0.02216501748251059
117,gemini-1.5-pro-exp-0801,0.466,0.022308921982023246
118,gpt-4o-mini-2024-07-18,0.366,0.021542701780417423
119,deepseek-coder-v2-0724,0.328,0.02099599961897504
120,gemma-2-2b-it,0.16,0.016395121225535356
121,llama-3.1-405b-instruct,0.45,0.022248595461286987
122,llama-3.1-70b-instruct,0.396,0.02187162545399861
123,llama-3.1-8b-instruct,0.218,0.018464885594013304
124,mistral-large-2407,0.394,0.021852414054287
125,reka-flash-20240722,0.248,0.019313000802568203
126,reka-core-20240722,0.334,0.02109236828807993
127,gemini-1.5-pro-exp-0827,0.508,0.022357817424784557
128,chatgpt-4o-latest,0.596,0.021944657664224338
129,gpt-4o-2024-08-06,0.456,0.022273930950777416
130,jamba-1.5-mini,0.24,0.019099738218101316
131,jamba-1.5-large,0.31,0.02068332661831747
132,grok-2-mini-2024-08-13,0.426,0.02211442967837968
133,grok-2-2024-08-13,0.518,0.022346185356789647
134,gemini-1.5-flash-8b-exp-0827,0.306,0.020608930103234373
135,gemini-1.5-flash-exp-0827,0.432,0.022152923057691506
